Team ID,Owner First Name,Is League Creator,Playoff Seed,Final Rank,Wins,Losses,Ties,Points For,Points Against,Year
5,Thomas,FALSE,3,1,9,3,0,1406,1180,2019
3,Joe,FALSE,11,12,4,8,0,1012,1219,2019
4,JAMES,FALSE,6,7,6,6,0,1090,1204,2019
6,mark,FALSE,2,3,9,3,0,1407.5,1147.5,2019
11,Jacob,FALSE,8,10,5,7,0,1161.5,1158.5,2019
7,Brian,FALSE,10,11,4,8,0,1017,1241,2019
8,SAMEE,FALSE,4,2,8,4,0,1286,1171.5,2019
9,JAMES,FALSE,1,4,10,2,0,1322.5,1090.5,2019
10,JD,FALSE,7,5,5,7,0,1284.5,1232,2019
1,Andy,TRUE,6,7,6,6,1,1478.5,1441,2018
12,John,FALSE,5,6,8,5,0,1401.5,1292,2018
2,Joey,FALSE,4,3,8,5,0,1407,1386,2018
5,Thomas,FALSE,3,2,11,2,0,1417,1295.5,2018
3,Joe,FALSE,10,8,4,9,0,1375,1493.5,2018
4,JAMES,FALSE,9,12,5,8,0,1198.5,1343.5,2018
6,mark,FALSE,8,5,6,7,0,1379,1490.5,2018
11,Jacob,FALSE,11,11,3,10,0,1282,1375,2018
7,Brian,FALSE,12,10,1,12,0,1107,1484,2018
8,SAMEE,FALSE,2,4,8,5,0,1513.5,1397,2018
9,JAMES,FALSE,1,1,11,2,0,1697,1380,2018
10,JD,FALSE,7,9,6,6,1,1458,1336,2018
1,Andy,TRUE,6,8,7,6,0,1009.3,1168.7,2017
12,John,FALSE,10,7,5,8,0,1100.5,1282.5,2017
2,Joey,FALSE,9,11,5,8,0,1177.8,1122.3,2017
5,Thomas,FALSE,1,2,10,3,0,1110.5,986.1,2017
3,Joe,FALSE,11,9,4,9,0,1209.3,1253.2,2017
4,JAMES,FALSE,2,1,9,4,0,1236.9,1090.3,2017
6,mark,FALSE,8,10,6,7,0,1150.1,1155.9,2017
11,Jacob,FALSE,5,6,7,6,0,1050.5,1072.5,2017
7,Brian,FALSE,12,12,4,9,0,905.3,1212.1,2017
8,SAMEE,FALSE,3,4,8,5,0,1299.9,1108.1,2017
9,JAMES,FALSE,7,5,6,7,0,1162.5,1059.7,2017
10,JD,FALSE,4,3,7,6,0,1167.1,1068.3,2017
1,Andy,TRUE,5,5,8,5,0,1283,1289.5,2016
5,Thomas,FALSE,3,1,8,5,0,1394.3,1251.3,2016
2,Joey,FALSE,1,2,10,3,0,1322.3,1206.9,2016
3,Joe,FALSE,9,9,3,10,0,1138.6,1252.4,2016
6,mark,FALSE,10,8,1,12,0,1128.6,1339.4,2016
4,JAMES,FALSE,7,6,5,8,0,1057.7,1177,2016
8,SAMEE,FALSE,2,4,9,4,0,1437.2,1233.7,2016
9,JAMES,FALSE,4,3,8,5,0,1291.7,1184.4,2016
7,Brian,FALSE,8,10,5,8,0,1018.6,1210.7,2016
10,JD,FALSE,6,7,8,5,0,1276.6,1203.3,2016
1,Andy,TRUE,9,7,5,8,0,1203,1191,2015
5,Thomas,FALSE,1,1,9,4,0,1420.9,1160.6,2015
2,Joey,FALSE,8,9,6,7,0,1031,1149.5,2015
3,Joe,FALSE,4,4,7,6,0,1189.4,1207.4,2015
6,mark,FALSE,3,2,8,5,0,1325,1146.3,2015
4,JAMES,FALSE,6,6,6,7,0,1224.5,1063.3,2015
8,SAMEE,FALSE,7,5,6,7,0,1118.9,1200.8,2015
9,JAMES,FALSE,2,3,9,4,0,1287.5,1200.3,2015
7,Brian,FALSE,5,8,7,6,0,1107.5,1242,2015
10,claude,FALSE,10,10,2,11,0,897.9,1244.4,2015
1,Andy,TRUE,4,1,6,7,0,1317.3,1317.8,2014
5,Thomas,FALSE,5,5,6,7,0,1229.1,1233.4,2014
2,Joey,FALSE,7,6,5,8,0,1303.6,1397.8,2014
3,Joe,FALSE,8,7,3,10,0,1103.4,1234.6,2014
6,mark,FALSE,1,4,10,3,0,1537.8,1274,2014
4,JAMES,FALSE,2,3,8,5,0,1299.9,1292.3,2014
8,SAMEE,FALSE,3,2,8,5,0,1317.6,1205.1,2014
7,Brian,FALSE,6,8,6,7,0,1142.2,1295.9,2014
